,product,price,discount,image,rating,global rating
143,"Realme 7 (Mist White, 8GB RAM, 128GB Storage) Without Offer",,,https://m.media-amazon.com/images/I/31A7BDld35L._AC_UL320_.jpg,4.2,2265.0
144,"(Renewed) realme X7 Max 5G (Mercury Silver, 256 GB) (12 GB RAM)",27949.0,"Save 5,050 (15%)",https://m.media-amazon.com/images/I/41ntVfjfMpL._AC_UL320_.jpg,1.0,2.0
145,Realme Type-C VOOC Cable + Charger + Realme Buds Classic wired earphones,898.0,Save 300 (25%),https://m.media-amazon.com/images/I/315ux1RGjQS._AC_UL320_.jpg,4.1,859.0
146,"(Renewed) Realme 7 Pro (Mirror Silver, 8GB RAM, 128GB Storage)",21999.0,,https://m.media-amazon.com/images/I/51y6ryf+gGL._AC_UL320_.jpg,3.3,15.0
147,"(Renewed) realme X7 Pro Fantasy, 8 GB RAM, 128 GB Storage",,,https://m.media-amazon.com/images/I/31WKYaeEYRS._AC_UL320_.jpg,3.7,3.0
148,"Realme 5i (Aqua Blue, 4GB RAM, 64GB Storage)",,,https://m.media-amazon.com/images/I/61IDHyHhOuL._AC_UL320_.jpg,4.2,329.0
149,"realme 8 5G (4 GB RAM, 128GB ROM) (Supersonic Blue)",16998.0,,https://m.media-amazon.com/images/I/41YmZRgXpOS._AC_UL320_.jpg,4.2,76.0
150,"(Renewed) Realme X50 Pro (Rust Red, 8GB RAM, 128GB Storage)",,,https://m.media-amazon.com/images/I/51vS493RWGL._AC_UL320_.jpg,3.7,4.0
151,"Realme X50 Pro (Rust Red, 12GB RAM, 256GB Storage)",37999.0,"Save 11,000 (22%)",https://m.media-amazon.com/images/I/61D2+bCzY0L._AC_UL320_.jpg,3.9,20.0
152,"(Renewed) Realme 7 Pro (Mirror Blue, 8GB RAM, 128GB Storage)",,,https://m.media-amazon.com/images/I/51y6ryf+gGL._AC_UL320_.jpg,3.3,15.0
153,realme Wireless in Ear Buds Air with Mic (Black),3990.0,"Save 1,009 (20%)",https://m.media-amazon.com/images/I/61zdk4KvAML._AC_UL320_.jpg,2.6,95.0
154,"Realme X7 (Nebula, 8GB RAM, 128GB Storage) Without Offer",,,https://m.media-amazon.com/images/I/41hSr79O7sL._AC_UL320_.jpg,4.2,1439.0
155,"Realme 5i (Forest Green, 4GB RAM, 64GB Storage)",,,https://m.media-amazon.com/images/I/614I6E-mPOL._AC_UL320_.jpg,4.2,233.0
